Date,Close,Index
2016-11-23,1764.06,DS30
2016-11-24,1769.53,DS30
2016-11-27,1768.49,DS30
2016-11-28,1769.99,DS30
2016-11-29,1768.06,DS30
2016-11-30,1775.33,DS30
2016-12-01,1787.69,DS30
2016-12-04,1783.29,DS30
2016-12-05,1784.36,DS30
2016-12-06,1785.47,DS30
2016-12-07,1793.11,DS30
2016-12-08,1795.66,DS30
2016-12-11,1784.18,DS30
2016-12-12,1785.61,DS30
2016-12-14,1797.35,DS30
2016-12-15,1806.0,DS30
2016-12-18,1803.03,DS30
2016-12-19,1796.83,DS30
2016-12-20,1797.18,DS30
2016-12-21,1791.57,DS30
2016-12-22,1796.64,DS30
2016-12-26,1798.25,DS30
2016-12-27,1807.45,DS30
2016-12-28,1808.45,DS30
2016-12-29,1810.91,DS30
2017-01-01,1821.88,DS30
2017-01-02,1841.6,DS30
2017-01-03,1852.64,DS30
2017-01-04,1855.92,DS30
2017-01-05,1864.24,DS30
2017-01-08,1860.56,DS30
2017-01-09,1879.12,DS30
2017-01-10,1894.66,DS30
2017-01-11,1908.36,DS30
2017-01-12,1910.5,DS30
2017-01-15,1934.06,DS30
2017-01-16,1944.47,DS30
2017-01-17,1984.07,DS30
2017-01-18,1980.88,DS30
2017-01-19,1983.7,DS30
2017-01-22,2011.72,DS30
2017-01-23,2024.63,DS30
2017-01-24,2040.26,DS30
2017-01-25,2028.06,DS30
2017-01-26,2038.48,DS30
2017-01-29,2003.24,DS30
2017-01-30,1978.46,DS30
2017-01-31,1993.15,DS30
2017-02-01,1993.64,DS30
2017-02-02,1956.89,DS30
2017-02-05,1952.41,DS30
2017-02-06,1961.85,DS30
2017-02-07,1967.25,DS30
2017-02-08,1993.86,DS30
2017-02-09,2002.36,DS30
2017-02-12,2011.24,DS30
2017-02-13,2024.75,DS30
2017-02-14,2034.51,DS30
2017-02-15,2025.53,DS30
2017-02-16,2027.68,DS30
2017-02-19,2020.42,DS30
2017-02-20,2025.96,DS30
2017-02-22,2033.45,DS30
2017-02-23,2036.19,DS30
2017-02-26,2037.34,DS30
2017-02-27,2029.67,DS30
2017-02-28,2025.82,DS30
2017-03-01,2021.25,DS30
2017-03-02,2021.03,DS30
2017-03-05,2010.86,DS30
2017-03-06,2017.21,DS30
2017-03-07,2031.73,DS30
2017-03-08,2040.99,DS30
2017-03-09,2049.63,DS30
2017-03-12,2055.02,DS30
2017-03-13,2043.38,DS30
2017-03-14,2043.64,DS30
2017-03-15,2051.33,DS30
2017-03-16,2059.63,DS30
2017-03-19,2066.31,DS30
2017-03-20,2061.54,DS30
2017-03-21,2065.91,DS30
2017-03-22,2077.13,DS30
2017-03-23,2076.66,DS30
2017-03-27,2071.79,DS30
2017-03-28,2095.19,DS30
2017-03-29,2099.89,DS30
2017-03-30,2090.75,DS30
2017-04-02,2083.9,DS30
2017-04-03,2115.98,DS30
2017-04-04,2143.66,DS30
2017-04-05,2139.16,DS30
2017-04-06,2134.19,DS30
2017-04-09,2119.56,DS30
2017-04-10,2116.45,DS30
2017-04-11,2107.69,DS30
2017-04-12,2093.59,DS30
2017-04-13,2087.33,DS30
2017-04-16,2059.7,DS30
2017-04-17,2066.02,DS30
2017-04-18,2056.18,DS30
2017-04-19,2055.16,DS30
